Date,EMIRATESNBD,DIB,EMAAR,CBD,MASQ,DEWA
2021-08-16,121.69,246.63,245.88,70.51,158.36,215.76
2021-08-17,124.4,238.97,246.08,69.98,161.1,215.06
2021-08-18,131.38,246.15,250.9,70.46,161.99,218.3
2021-08-19,134.58,253.07,245.85,70.03,164.69,219.94
2021-08-20,135.24,250.03,241.75,69.93,163.47,221.56
2021-08-23,137.69,252.13,247.31,69.23,161.04,220.47
2021-08-24,134.98,254.75,246.08,67.17,163.58,215.21
2021-08-25,130.77,256.2,242.38,67.63,167.35,210.49
2021-08-26,132.86,253.51,246.03,70.04,164.37,213.58
2021-08-27,131.5,250.23,243.75,70.1,162.56,213.77
2021-08-30,128.02,250.23,248.89,70.45,162.11,213.29
2021-08-31,125.83,256.23,245.71,71.46,167.45,211.59
2021-09-01,123.05,259.14,245.04,69.68,169.42,210.4
2021-09-02,123.44,257.35,249.8,72.09,165.01,214.91
2021-09-03,124.94,261.45,248.79,72.42,164.79,213.58
2021-09-06,127.22,246.68,252.68,74.82,164.06,207.96
2021-09-07,129.56,252.48,252.47,73.76,160.29,211.15
2021-09-08,131.58,243.82,262.61,76.48,160.04,210.39
2021-09-09,131.1,242.17,270.98,77.7,159.19,210.63
2021-09-10,129.53,236.87,263.92,78.6,158.12,217.51
2021-09-13,125.69,230.85,266.8,79.01,156.91,217.53
2021-09-14,128.52,236.33,262.58,78.66,161.61,218.89
2021-09-15,128.13,234.24,263.72,80.58,160.51,213.84
2021-09-16,127.14,235.98,264.21,80.85,160.75,213.01
2021-09-17,130.2,235.87,258.77,77.71,160.64,215.71
2021-09-20,127.93,238.24,264.37,76.01,159.1,209.11
2021-09-21,130.13,238.73,265.58,75.77,159.43,210.06
2021-09-22,130.96,232.72,264.2,76.27,159.72,210.58
2021-09-23,128.31,237.47,262.02,76.23,160.06,210.86
2021-09-24,128.18,235.25,262.88,78.12,157.38,215.34
2021-09-27,130.74,228.04,265.16,75.11,156.81,216.89
2021-09-28,132.89,226.2,264.63,75.37,159.28,223.41
2021-09-29,136.93,233.11,249.77,72.66,158.78,219.08
2021-09-30,137.92,237.19,249.98,73.8,159.38,219.79
2021-10-01,147.29,235.65,242.9,73.7,159.99,220.27
2021-10-04,144.65,234.12,242.0,74.36,161.41,215.67
2021-10-05,143.57,232.73,235.32,73.11,163.29,219.9
2021-10-06,143.47,242.52,228.77,75.02,162.8,230.24
2021-10-07,139.47,244.49,234.54,76.62,159.92,230.27
2021-10-08,142.45,246.72,233.16,77.55,156.1,232.71
2021-10-11,145.09,251.92,231.42,77.39,159.35,233.22
2021-10-12,145.22,253.25,233.77,78.32,161.89,230.01
2021-10-13,143.74,252.07,232.16,77.26,164.07,221.75
2021-10-14,139.52,251.2,242.04,78.62,166.82,218.73
2021-10-15,137.38,250.97,240.84,81.25,166.36,212.75
2021-10-18,139.5,250.91,242.72,83.03,164.36,220.11
2021-10-19,138.97,254.68,247.55,81.86,161.22,219.71
2021-10-20,137.86,255.08,255.61,82.49,157.79,218.3
2021-10-21,139.31,258.94,251.94,80.4,161.7,222.29
2021-10-22,142.6,258.65,249.96,81.36,160.18,217.42
2021-10-25,143.41,259.19,256.46,82.13,163.64,214.19
2021-10-26,144.38,248.96,260.74,79.1,163.11,214.59
2021-10-27,148.42,253.65,266.48,77.31,160.99,219.11
2021-10-28,149.01,255.53,259.32,76.91,157.54,221.42
2021-10-29,148.16,260.76,267.48,76.48,155.77,222.63
2021-11-01,150.23,245.79,263.54,74.67,160.27,223.09
2021-11-02,149.54,256.17,264.68,75.29,156.87,224.99
2021-11-03,148.51,255.59,264.03,75.71,163.59,226.01
2021-11-04,152.37,261.38,259.53,75.45,160.92,221.46
2021-11-05,151.56,256.07,252.32,74.35,163.42,221.78
2021-11-08,143.58,259.34,243.65,75.94,163.02,217.13
2021-11-09,144.65,254.01,244.35,78.5,162.06,217.59
2021-11-10,143.58,250.97,237.02,77.78,158.02,215.61
2021-11-11,142.82,260.7,231.76,76.86,157.79,226.66
2021-11-12,144.18,259.83,230.87,77.66,154.21,226.6
2021-11-15,143.78,261.09,218.8,77.14,149.1,220.35
2021-11-16,144.47,265.77,222.32,76.96,149.53,219.86
2021-11-17,138.69,268.54,211.71,78.14,147.71,222.26
2021-11-18,136.15,269.48,211.49,75.19,152.76,229.81
2021-11-19,140.04,271.58,211.66,77.21,155.89,227.21
2021-11-22,140.06,284.77,214.04,77.36,161.26,220.14
2021-11-23,135.44,284.58,213.97,76.77,159.14,223.84
2021-11-24,132.6,285.87,222.72,76.67,159.66,217.77
2021-11-25,130.04,292.02,223.79,76.65,151.37,215.98
2021-11-26,130.37,298.62,228.62,74.03,150.59,214.98
2021-11-29,129.3,305.86,225.42,76.28,150.96,214.79
2021-11-30,127.66,309.92,226.08,76.39,151.5,217.85
2021-12-01,127.74,302.99,233.19,77.1,151.45,214.98
2021-12-02,129.02,313.04,232.2,78.61,151.73,213.91
2021-12-03,128.42,306.02,233.21,77.04,143.57,213.96
2021-12-06,127.01,308.03,237.9,77.81,144.38,214.71
2021-12-07,126.0,303.53,234.49,77.43,145.85,215.23
2021-12-08,126.92,303.3,224.47,78.78,149.82,217.22
2021-12-09,126.96,305.44,225.73,75.47,151.0,220.99
2021-12-10,128.98,307.56,230.3,75.36,150.68,222.84
2021-12-13,126.07,310.31,224.19,74.49,154.09,224.97
2021-12-14,124.18,320.48,227.31,75.17,146.9,217.97
2021-12-15,126.16,323.54,230.5,75.91,145.46,218.29
2021-12-16,124.2,322.13,220.14,74.87,143.3,220.5
2021-12-17,127.7,328.5,216.12,73.85,143.28,223.82
2021-12-20,131.36,336.48,214.52,73.72,137.05,220.83
2021-12-21,135.08,328.38,213.86,72.43,140.73,218.03
2021-12-22,132.77,332.47,210.79,73.69,140.1,215.64
2021-12-23,133.04,337.3,207.53,73.18,141.07,218.06
2021-12-24,131.79,335.46,214.57,68.96,141.76,222.68
2021-12-27,134.29,344.86,214.22,68.48,145.42,220.98
2021-12-28,138.94,344.0,211.35,67.09,140.07,225.1
2021-12-29,141.44,345.03,211.28,64.94,140.46,225.77
2021-12-30,141.54,344.01,213.66,63.36,143.75,225.32
2021-12-31,140.57,344.29,213.98,63.53,143.54,224.48
2022-01-03,142.47,336.91,213.21,65.25,140.88,227.94
2022-01-04,139.06,327.38,210.54,65.7,139.25,229.54
2022-01-05,140.62,337.98,207.86,64.93,138.22,240.1
2022-01-06,138.11,332.43,205.48,65.56,136.3,236.13
2022-01-07,139.9,326.0,206.98,64.99,135.95,238.7
2022-01-10,139.52,312.12,202.96,64.12,140.12,236.29
2022-01-11,138.5,308.29,204.66,62.67,138.52,232.3
2022-01-12,136.12,300.29,210.55,60.5,137.23,232.37
2022-01-13,135.22,310.3,212.02,60.06,138.56,233.12
2022-01-14,136.79,316.72,210.56,60.28,138.15,246.84
2022-01-17,139.71,312.52,205.2,60.2,134.55,246.06
2022-01-18,141.25,326.76,211.78,59.72,134.45,240.62
2022-01-19,145.18,333.34,206.93,58.62,134.25,242.05
2022-01-20,152.62,331.34,210.55,59.37,136.94,232.13
2022-01-21,151.71,314.94,213.34,57.83,134.34,231.82
2022-01-24,151.16,329.53,212.44,58.76,137.05,232.01
2022-01-25,146.88,320.53,211.43,57.61,136.85,235.81
2022-01-26,150.45,310.15,203.77,56.77,133.89,240.52
2022-01-27,154.44,316.64,205.22,55.14,130.45,238.22
2022-01-28,151.84,332.25,207.86,54.61,135.56,237.62
2022-01-31,153.79,341.62,203.44,55.7,135.19,234.1
2022-02-01,157.61,345.64,202.91,56.31,137.79,228.93
2022-02-02,158.4,349.93,203.16,57.44,133.16,230.47
2022-02-03,161.16,356.07,205.64,58.06,140.25,224.71
2022-02-04,161.81,361.66,205.76,56.81,142.82,222.96
2022-02-07,157.95,363.87,199.17,56.46,142.16,218.64
2022-02-08,161.35,364.81,197.16,55.61,141.36,221.15
2022-02-09,165.7,364.54,198.14,57.12,143.51,229.23
2022-02-10,168.22,359.22,201.57,55.78,145.53,223.37
2022-02-11,165.09,357.38,199.19,56.81,146.13,215.21
2022-02-14,162.69,345.46,208.0,57.85,146.24,214.78
2022-02-15,159.1,344.96,200.22,59.99,147.95,214.95
2022-02-16,161.63,338.31,198.07,59.53,142.87,216.0
2022-02-17,165.81,331.01,197.84,60.41,141.88,214.18
2022-02-18,167.3,332.37,197.14,63.2,137.28,213.43
2022-02-21,170.53,341.79,192.38,62.45,139.01,215.1
2022-02-22,167.65,348.23,194.2,60.56,137.2,219.69
2022-02-23,168.23,337.47,195.74,58.32,132.95,211.21
2022-02-24,163.7,330.96,196.02,59.18,130.91,209.75
2022-02-25,161.26,337.35,197.42,56.98,131.37,210.75
2022-02-28,164.17,330.89,195.85,56.58,130.89,206.99
2022-03-01,163.47,329.57,189.61,57.1,127.89,214.26
2022-03-02,167.5,333.36,186.99,57.34,123.59,211.65
2022-03-03,169.39,327.07,187.67,57.86,123.83,211.58
2022-03-04,178.74,327.92,188.37,58.15,122.46,214.03
2022-03-07,179.16,319.34,188.62,59.66,121.89,211.61
2022-03-08,174.21,315.66,190.79,58.56,121.56,203.9
2022-03-09,174.18,317.83,188.67,57.79,122.67,202.26
2022-03-10,170.91,307.87,188.86,56.93,124.8,206.52
2022-03-11,174.34,310.73,191.12,57.9,125.23,205.23
2022-03-14,174.57,310.77,190.89,58.97,124.49,201.86
2022-03-15,174.18,314.36,186.24,59.54,124.62,205.7
2022-03-16,173.83,315.92,182.75,60.97,123.83,204.44
2022-03-17,176.49,324.7,185.88,59.57,119.83,202.46
2022-03-18,174.99,325.67,191.15,61.58,122.5,203.16
2022-03-21,177.79,323.04,195.73,63.49,124.78,206.4
2022-03-22,181.6,323.99,196.74,64.46,129.8,216.33
2022-03-23,180.45,327.67,192.11,66.79,135.79,220.02
2022-03-24,177.2,328.16,192.18,64.61,132.66,225.23
2022-03-25,175.47,328.59,198.28,63.96,131.84,223.07
2022-03-28,178.05,324.14,200.83,63.05,138.53,218.6
2022-03-29,178.46,320.0,200.1,63.99,138.48,218.98
2022-03-30,180.8,311.19,202.71,62.68,139.23,219.56
2022-03-31,187.27,322.23,197.67,63.66,135.06,214.94
2022-04-01,188.23,314.38,195.02,65.44,135.54,214.29
2022-04-04,185.28,310.18,190.88,66.38,140.84,216.11
2022-04-05,189.29,305.88,192.77,66.79,144.54,217.77
2022-04-06,189.58,311.5,195.62,65.51,142.85,220.08
2022-04-07,192.98,309.82,195.12,64.43,141.79,221.47
2022-04-08,197.19,317.71,191.81,66.07,138.65,219.33
2022-04-11,193.51,313.59,191.83,67.14,136.36,217.19
2022-04-12,198.95,315.49,190.06,67.12,131.22,212.09
2022-04-13,202.65,310.38,187.13,66.59,131.06,219.77
2022-04-14,200.31,323.85,188.49,63.92,135.08,219.94
2022-04-15,201.63,316.32,185.73,62.59,136.11,219.06
2022-04-18,202.76,318.44,180.0,65.01,139.9,215.1
2022-04-19,202.96,322.64,175.25,63.38,142.97,227.83
2022-04-20,206.6,325.47,169.72,63.65,141.48,223.06
2022-04-21,212.65,324.42,170.65,64.96,139.4,221.26
2022-04-22,212.78,323.74,171.24,63.37,137.46,223.21
2022-04-25,218.55,324.19,171.67,63.63,132.81,226.0
2022-04-26,222.98,323.4,173.78,64.86,132.96,230.44
2022-04-27,224.13,329.79,178.01,64.91,125.3,238.89
2022-04-28,225.03,344.54,175.99,68.66,126.85,241.42
2022-04-29,219.96,340.87,177.51,66.41,127.09,236.45
2022-05-02,213.46,331.7,171.99,67.85,128.36,235.35
2022-05-03,214.28,331.28,176.82,67.64,131.13,236.92
2022-05-04,210.71,348.54,172.5,68.72,131.72,246.83
2022-05-05,210.65,343.11,170.14,69.36,136.08,240.06
2022-05-06,208.51,354.53,168.19,68.38,137.85,245.95
2022-05-09,201.15,366.61,163.14,68.73,135.83,246.96
2022-05-10,202.69,362.73,163.33,66.21,135.25,251.22
2022-05-11,201.11,367.04,164.11,67.04,129.2,250.83
2022-05-12,201.53,379.18,163.57,67.47,126.93,246.73
2022-05-13,198.03,376.49,158.61,68.37,126.03,250.56
2022-05-16,196.81,375.15,164.98,69.85,127.47,253.97
2022-05-17,203.05,370.97,166.88,70.4,125.62,259.03
2022-05-18,203.67,363.63,175.75,70.64,122.55,259.09
2022-05-19,206.01,359.09,173.01,69.43,117.99,256.11
2022-05-20,200.88,350.48,176.41,68.48,116.64,248.26
2022-05-23,210.58,350.89,179.25,70.14,121.25,252.45
2022-05-24,218.45,345.66,178.3,72.19,121.97,254.71
2022-05-25,224.51,347.45,183.42,71.88,124.32,249.92
2022-05-26,228.35,336.81,182.02,71.98,122.14,247.36
2022-05-27,228.53,339.21,180.8,70.72,118.36,245.17
2022-05-30,230.66,345.03,168.34,72.41,115.53,238.02
2022-05-31,235.61,331.45,169.8,73.41,115.36,234.25
2022-06-01,232.77,334.09,165.38,76.3,110.82,229.05
2022-06-02,230.82,342.46,163.64,75.0,108.64,227.28
2022-06-03,223.23,334.35,160.37,74.47,107.42,224.03
2022-06-06,219.89,345.7,159.27,74.85,104.64,216.86
2022-06-07,227.31,348.77,160.77,75.85,100.25,225.74
2022-06-08,225.9,344.03,160.88,75.56,100.88,231.5
2022-06-09,224.58,343.82,163.25,74.28,101.02,228.01
2022-06-10,226.12,347.83,167.46,75.63,102.65,229.37
2022-06-13,218.94,348.53,166.31,76.76,100.42,231.4
2022-06-14,223.19,352.46,164.8,75.39,101.99,237.03
2022-06-15,228.95,346.15,168.04,77.47,105.16,233.26
2022-06-16,230.8,347.49,171.61,79.32,105.77,238.48
2022-06-17,238.53,337.84,174.24,79.58,104.53,235.98
2022-06-20,232.32,337.26,171.0,79.74,104.89,229.8
2022-06-21,241.01,331.33,172.54,80.67,103.56,233.24
2022-06-22,237.61,326.62,173.0,79.32,101.9,239.38
2022-06-23,231.64,334.86,176.73,79.4,103.35,251.88
2022-06-24,230.66,342.33,174.79,76.02,103.11,245.97
2022-06-27,239.41,346.68,169.05,77.39,105.65,249.53
2022-06-28,239.44,339.28,171.47,75.02,104.77,247.61
2022-06-29,235.09,337.3,162.78,77.31,104.1,251.61
2022-06-30,229.12,345.65,160.48,76.84,102.98,244.34
2022-07-01,228.75,346.8,157.28,76.55,100.72,238.29
2022-07-04,219.74,363.06,154.12,75.63,102.41,234.71
2022-07-05,214.13,366.1,151.89,75.23,106.94,235.2
2022-07-06,220.85,367.69,155.66,77.4,106.18,232.3
2022-07-07,226.81,365.6,158.29,73.59,104.78,235.48
2022-07-08,226.34,366.76,157.57,75.51,103.27,240.43
2022-07-11,224.34,365.83,161.23,76.05,101.92,243.44
2022-07-12,224.72,371.19,157.88,74.26,105.34,251.44
2022-07-13,235.38,378.48,154.18,72.7,103.87,253.66
2022-07-14,237.41,372.72,156.92,75.17,102.71,247.61
2022-07-15,241.84,362.98,158.81,73.79,100.21,254.48
2022-07-18,240.99,349.83,157.43,72.12,100.85,251.53
2022-07-19,241.4,353.56,153.93,73.8,100.77,256.24
2022-07-20,244.64,345.94,158.51,74.33,98.53,264.43
2022-07-21,245.38,331.21,153.13,72.98,96.82,266.98
2022-07-22,236.19,333.95,151.38,73.33,99.83,259.12
2022-07-25,242.36,350.77,152.14,71.86,99.95,254.49
2022-07-26,239.5,350.9,157.7,73.48,100.2,261.35
2022-07-27,249.73,356.96,158.99,75.08,100.46,260.6
2022-07-28,253.29,357.73,160.6,75.91,103.32,261.14
2022-07-29,253.78,357.2,158.85,76.5,101.21,265.24
2022-08-01,256.13,363.94,160.73,79.23,100.46,269.07
2022-08-02,255.71,362.01,161.15,79.27,100.17,270.7
2022-08-03,253.35,364.13,156.11,77.44,96.77,269.71
2022-08-04,254.52,366.65,158.67,78.17,95.04,268.15
2022-08-05,259.16,361.94,161.83,81.47,97.08,272.89
2022-08-08,256.88,369.3,164.51,79.86,98.61,276.05
2022-08-09,253.81,368.19,164.7,79.32,100.5,274.76
2022-08-10,252.13,362.81,161.63,80.02,99.37,280.85
2022-08-11,257.06,366.88,154.25,79.98,98.49,280.26
2022-08-12,264.66,360.48,154.81,78.45,95.02,275.63
2022-08-15,266.7,360.86,158.24,80.25,96.84,271.58
2022-08-16,269.94,360.97,161.47,84.01,99.01,266.4
2022-08-17,266.67,368.99,164.18,84.38,101.21,265.09
2022-08-18,271.48,372.68,164.02,82.9,104.5,271.76
2022-08-19,274.61,372.68,167.67,80.37,105.44,267.52
2022-08-22,270.85,378.96,170.85,80.82,108.77,268.66
2022-08-23,261.3,389.69,169.5,82.65,108.39,265.27
2022-08-24,255.05,394.23,171.87,83.48,104.62,264.02
2022-08-25,251.77,394.51,170.12,83.51,106.47,256.18
2022-08-26,257.75,384.36,172.04,82.57,102.68,255.17
2022-08-29,265.88,376.36,167.66,80.81,103.08,254.31
2022-08-30,263.67,374.25,163.64,82.2,105.1,257.19
2022-08-31,261.66,369.88,167.19,83.74,105.84,258.47
2022-09-01,263.16,368.68,170.4,81.2,110.71,252.4
2022-09-02,263.35,369.28,172.65,83.82,106.42,258.0
2022-09-05,268.39,373.38,173.04,84.82,106.29,259.21
2022-09-06,265.71,373.04,164.85,87.24,106.38,260.37
2022-09-07,270.89,376.85,164.69,84.94,103.58,260.45
2022-09-08,269.73,377.53,166.26,82.66,101.24,257.89
2022-09-09,274.47,362.8,164.57,82.46,99.58,259.14
2022-09-12,273.12,356.17,162.31,83.33,97.44,261.73
2022-09-13,269.91,355.32,167.08,86.36,97.28,252.72
2022-09-14,280.36,346.9,166.96,87.63,96.15,250.12
2022-09-15,286.48,351.24,168.56,87.24,96.81,248.97
2022-09-16,276.35,362.16,171.25,85.5,98.12,250.37
2022-09-19,274.02,371.17,167.91,87.64,99.31,256.47
2022-09-20,280.76,369.77,168.64,86.0,98.54,252.64
2022-09-21,274.18,380.98,173.18,88.84,99.15,250.25
2022-09-22,278.55,382.31,179.57,88.38,101.25,247.81
2022-09-23,282.4,379.92,179.8,91.24,102.21,243.97
2022-09-26,278.59,375.45,179.03,92.52,106.06,242.39
2022-09-27,278.68,373.37,180.09,92.31,108.19,246.25
2022-09-28,267.17,370.65,181.05,91.4,111.97,241.18
2022-09-29,276.77,372.1,186.17,90.82,106.44,243.37
2022-09-30,275.2,373.48,182.55,91.65,106.7,235.21
2022-10-03,279.76,373.69,181.62,91.83,106.06,232.68
2022-10-04,283.33,377.15,177.65,90.79,105.85,231.27
2022-10-05,291.17,386.32,174.14,90.53,104.2,239.13
2022-10-06,288.79,393.84,175.54,90.72,105.08,237.93
2022-10-07,290.11,382.35,178.47,86.9,101.33,227.58
2022-10-10,293.5,363.01,176.25,87.74,102.2,218.59
2022-10-11,298.77,369.97,179.05,86.07,100.67,218.85
2022-10-12,305.82,360.04,183.12,84.13,99.71,221.65
2022-10-13,303.05,358.6,190.3,81.33,100.64,223.42
2022-10-14,299.18,350.39,190.66,78.45,100.85,224.28
2022-10-17,307.46,337.94,188.32,76.36,103.02,229.61
2022-10-18,295.09,341.77,184.64,75.32,101.08,227.25
2022-10-19,304.5,347.13,180.66,78.3,100.97,231.43
2022-10-20,302.82,343.3,185.27,77.51,102.81,223.99
2022-10-21,302.94,325.68,179.75,77.83,103.6,220.05
2022-10-24,298.96,322.28,184.21,78.49,104.54,212.2
2022-10-25,298.82,324.97,181.11,78.74,106.91,211.14
2022-10-26,306.56,315.52,178.71,78.65,106.09,211.05
2022-10-27,311.44,316.84,178.26,76.81,104.84,211.64
2022-10-28,314.67,316.9,175.84,79.08,106.1,212.01
2022-10-31,315.39,320.73,179.21,81.98,105.83,208.18
2022-11-01,306.42,321.66,185.8,79.26,108.26,207.49
2022-11-02,301.4,315.56,183.45,77.68,109.12,201.38
2022-11-03,299.49,323.27,181.95,77.28,107.81,206.97
2022-11-04,302.38,322.4,181.45,75.83,108.59,205.82
2022-11-07,302.95,322.39,183.5,76.63,106.69,203.91
2022-11-08,309.06,316.53,183.03,75.56,108.76,210.49
2022-11-09,312.14,313.88,188.2,78.87,105.78,205.37
2022-11-10,312.64,308.49,192.61,80.78,108.41,200.85
2022-11-11,327.02,307.57,188.14,81.17,109.16,196.55
2022-11-14,329.84,318.26,190.2,82.87,108.86,196.38
2022-11-15,327.16,309.68,196.07,84.75,110.58,198.17
2022-11-16,339.49,299.84,194.23,83.83,111.76,201.2
2022-11-17,347.81,308.82,193.19,82.51,114.79,211.65
2022-11-18,360.62,307.68,191.24,82.68,117.88,202.24
2022-11-21,360.0,303.71,189.4,84.14,118.77,204.8
2022-11-22,367.21,310.18,183.17,84.42,116.76,202.62
2022-11-23,356.72,306.58,178.4,81.8,115.55,200.34
2022-11-24,362.5,317.93,178.76,80.53,115.45,197.96
2022-11-25,361.53,322.4,184.27,80.45,118.0,194.46
2022-11-28,351.92,319.42,182.1,80.37,116.98,201.11
2022-11-29,359.36,333.36,179.85,83.58,116.17,204.6
2022-11-30,346.53,329.49,186.06,81.3,120.52,204.8
2022-12-01,333.45,334.54,182.03,82.17,120.33,210.43
2022-12-02,336.03,336.71,176.07,84.65,118.86,204.17
2022-12-05,340.04,345.64,173.24,88.54,120.77,198.84
2022-12-06,346.81,356.61,171.03,87.87,120.69,190.28
2022-12-07,352.13,357.02,165.14,88.78,117.4,187.71
2022-12-08,362.7,351.82,164.8,89.83,119.9,188.41
2022-12-09,367.97,355.23,168.01,90.23,118.17,188.89
2022-12-12,367.18,350.59,163.77,90.1,118.33,189.55
2022-12-13,366.82,364.89,164.14,90.93,118.23,184.3
2022-12-14,364.93,366.06,165.52,86.37,118.83,187.35
2022-12-15,367.27,363.57,165.33,87.59,113.69,188.34
2022-12-16,359.39,365.1,166.02,87.85,112.98,191.2
2022-12-19,362.02,355.44,166.76,87.51,115.58,184.06
2022-12-20,361.58,348.71,164.13,91.13,118.56,185.29
2022-12-21,363.75,357.26,169.14,89.95,116.27,180.99
2022-12-22,365.96,352.75,173.44,89.27,118.47,179.64
2022-12-23,348.2,345.54,177.66,92.87,116.72,181.65
2022-12-26,342.1,349.42,181.35,91.37,115.91,182.07
2022-12-27,341.52,357.88,175.72,90.41,115.22,179.06
2022-12-28,341.31,363.2,179.07,90.19,115.53,179.17
2022-12-29,343.26,370.62,181.5,91.75,117.9,173.77
2022-12-30,345.5,365.2,176.02,92.18,118.58,177.86
2023-01-02,356.15,354.99,175.35,89.84,118.34,177.22
2023-01-03,358.56,365.83,176.41,88.93,120.69,181.27
2023-01-04,356.49,363.65,182.37,87.89,118.81,179.45
2023-01-05,345.27,362.01,185.1,87.8,118.69,177.66
2023-01-06,335.99,371.81,181.99,88.59,121.11,175.04
2023-01-09,339.76,376.13,188.26,89.38,122.46,178.19
2023-01-10,347.13,379.75,188.51,86.25,121.38,175.75
2023-01-11,358.01,396.38,187.64,88.13,117.76,178.1
2023-01-12,352.26,391.48,186.51,88.62,118.55,176.83
2023-01-13,350.29,398.94,180.55,91.12,114.87,169.93
2023-01-16,352.17,399.59,180.24,91.97,114.44,168.08
2023-01-17,366.76,401.94,182.12,94.04,117.2,164.2
2023-01-18,367.79,414.43,180.81,94.97,118.65,164.39
2023-01-19,379.38,418.84,182.42,97.57,113.91,160.56
2023-01-20,380.86,423.56,179.36,98.64,114.42,163.61
2023-01-23,389.84,432.86,178.94,98.49,113.75,163.4
2023-01-24,398.04,429.91,180.17,103.02,110.91,162.9
2023-01-25,399.56,422.91,180.94,104.9,111.71,165.12
2023-01-26,391.6,414.29,175.22,106.16,110.67,168.38
2023-01-27,389.69,398.2,173.77,103.5,109.65,168.4
2023-01-30,401.49,414.78,179.69,100.89,109.97,165.89
2023-01-31,408.74,405.83,178.01,101.53,108.65,160.08
2023-02-01,405.4,404.24,178.15,101.88,108.91,157.97
2023-02-02,402.83,402.2,177.93,100.68,107.68,156.1
2023-02-03,389.09,404.88,183.6,101.01,106.57,156.51
2023-02-06,400.52,411.69,188.43,104.27,108.74,155.51
2023-02-07,407.82,418.98,191.57,105.77,111.17,157.72
2023-02-08,406.9,414.3,187.94,103.41,107.43,155.87
2023-02-09,408.74,413.12,189.38,103.23,109.09,155.77
2023-02-10,391.19,415.66,191.63,101.62,112.2,159.54
2023-02-13,387.58,413.8,189.05,100.88,115.75,160.71
2023-02-14,398.12,427.31,185.85,100.1,117.01,160.59
2023-02-15,406.13,431.72,192.28,99.19,114.59,158.74
2023-02-16,409.02,438.28,191.22,96.75,116.09,156.81
2023-02-17,409.11,444.31,197.49,96.55,114.13,154.22
2023-02-20,415.83,454.96,201.53,95.52,113.41,152.63
2023-02-21,413.7,456.84,203.27,89.97,114.33,155.01
2023-02-22,400.13,445.22,205.21,93.71,112.55,154.4
2023-02-23,400.28,449.0,199.57,95.8,110.03,150.31
2023-02-24,403.71,443.38,200.49,95.13,111.11,155.7
2023-02-27,412.97,438.91,206.28,95.21,115.31,156.78
2023-02-28,401.28,444.28,209.19,93.03,118.24,152.44
2023-03-01,400.49,455.5,209.94,96.23,119.97,151.17
2023-03-02,400.09,455.92,217.23,99.93,122.38,151.58
2023-03-03,391.48,458.97,216.54,100.29,124.0,156.83
2023-03-06,395.49,474.82,213.96,102.39,125.18,153.43
2023-03-07,401.6,477.34,214.73,102.8,127.49,156.5
2023-03-08,399.46,502.42,218.13,100.11,124.06,160.96
2023-03-09,416.08,508.36,210.74,99.33,124.62,159.02
2023-03-10,413.63,490.71,212.05,99.64,124.48,158.21
2023-03-13,410.15,498.35,215.59,98.79,124.74,155.01
2023-03-14,406.45,502.39,214.54,98.4,123.65,154.46
2023-03-15,400.02,515.6,219.39,98.27,125.0,154.42
2023-03-16,395.75,522.8,222.32,98.16,123.02,156.54
2023-03-17,384.6,521.62,231.95,98.32,121.77,160.03
2023-03-20,383.32,509.11,228.58,96.28,120.23,157.71
2023-03-21,383.95,507.23,232.49,94.95,122.37,151.59
